actor_id,area,datasource_id
IT MCB,12,OEF:WD:city-area:20221105
IT MFC,22,OEF:WD:city-area:20221105
IT MUQ,20,OEF:WD:city-area:20221105
IT MDR,5,OEF:WD:city-area:20221105
IT NFA,42,OEF:WD:city-area:20221105
IT ZQB,70,OEF:WD:city-area:20221105
IT PGB,12,OEF:WD:city-area:20221105
IT RCE,18,OEF:WD:city-area:20221105
IT SA8,34,OEF:WD:city-area:20221105
IT SCM,21,OEF:WD:city-area:20221105
IT SGM,21,OEF:WD:city-area:20221105
IT ZUX,53,OEF:WD:city-area:20221105
IT SEF,80,OEF:WD:city-area:20221105
IT STN,45,OEF:WD:city-area:20221105
IT TON,23,OEF:WD:city-area:20221105
IT VRC,27,OEF:WD:city-area:20221105
IT ZTI,26,OEF:WD:city-area:20221105
IT SDL,6,OEF:WD:city-area:20221105
IT SOF,61,OEF:WD:city-area:20221105
IT TSM,20,OEF:WD:city-area:20221105
IT TRB,13,OEF:WD:city-area:20221105
IT TGL,18,OEF:WD:city-area:20221105
IT TZA,20,OEF:WD:city-area:20221105
IT V5T,15,OEF:WD:city-area:20221105
IT VER,26,OEF:WD:city-area:20221105
IT VRA,21,OEF:WD:city-area:20221105
IT VTN,13,OEF:WD:city-area:20221105
IT VCN,14,OEF:WD:city-area:20221105
IT ZWR,9,OEF:WD:city-area:20221105
IT UIS,11,OEF:WD:city-area:20221105
IT VBN,53,OEF:WD:city-area:20221105
US QFW,8,OEF:WD:city-area:20221105
CN BJS,700000,OEF:WD:city-area:20221105
JP SMZ,18,OEF:WD:city-area:20221105
CA 9FR,40,OEF:WD:city-area:20221105
IT ANA,113,OEF:WD:city-area:20221105
IT AQI,19,OEF:WD:city-area:20221105
IT RCT,40,OEF:WD:city-area:20221105
IT API,56,OEF:WD:city-area:20221105
IT ZCY,30,OEF:WD:city-area:20221105
IT ZCW,20,OEF:WD:city-area:20221105
IT ZLD,12,OEF:WD:city-area:20221105
IT ZAS,27,OEF:WD:city-area:20221105
IT CSO,83,OEF:WD:city-area:20221105
IT CVC,58,OEF:WD:city-area:20221105
IT ZFJ,61,OEF:WD:city-area:20221105
IT ZZY,38,OEF:WD:city-area:20221105
JP KOJ,547050000,OEF:WD:city-area:20221105
