actor_id,lat,lng,datasource_id
CL PRO,-334313,-706092,CDPCitiesTargets:2021
EC CUE,-29084,-790048,CDPCitiesTargets:2021
DK HLS,560308,125921,CDPCitiesTargets:2021
BR REC,-80578,-348829,CDPCitiesTargets:2021
SE STO,593293,180686,CDPCitiesTargets:2021
TW TNN,229999,1202270,CDPCitiesTargets:2021
TR KAD,409800,290585,CDPCitiesTargets:2021
TW TNN,229999,1202270,CDPCitiesTargets:2021
IS REY,641265,-218174,CDPCitiesTargets:2021
AR BUE,-346037,-583816,CDPCitiesTargets:2021
BD DAC,238103,904125,CDPCitiesTargets:2021
LV RIX,569496,241052,CDPCitiesTargets:2021
TR IST,410082,289784,CDPCitiesTargets:2021
AR BUE,-346037,-583816,CDPCitiesTargets:2021
SE UME,638258,202630,CDPCitiesTargets:2021
IT LAQ,423505,133995,CDPCitiesTargets:2021
IT LAQ,423505,133995,CDPCitiesTargets:2021
DE HEI,493988,86724,CDPCitiesTargets:2021
ES VIT,428400,-26700,CDPCitiesTargets:2021
DK HVV,556425,124754,CDPCitiesTargets:2021
TR NIL,400000,280000,CDPCitiesTargets:2021
BR PVH,-203338,-403776,CDPCitiesTargets:2021
GI GIB,361408,-53536,CDPCitiesTargets:2021
CI COD,53602,-39674,CDPCitiesTargets:2021
PE COM,-119500,-770667,CDPCitiesTargets:2021
IT MIL,458026,90864,CDPCitiesTargets:2021
IT MIL,458026,90864,CDPCitiesTargets:2021
AU SYD,-338675,1512070,CDPCitiesTargets:2021
IT MIL,458026,90864,CDPCitiesTargets:2021
IT MIL,458026,90864,CDPCitiesTargets:2021
IT FLR,437696,112558,CDPCitiesTargets:2021
IT FLR,437696,112558,CDPCitiesTargets:2021
SI LJU,460569,145058,CDPCitiesTargets:2021
ET ADD,90289,387544,CDPCitiesTargets:2021
ID BPN,-12654,1168310,CDPCitiesTargets:2021
TW NTC,250111,1214460,CDPCitiesTargets:2021
IT FRR,448357,116190,CDPCitiesTargets:2021
BR SSA,-129730,-385023,CDPCitiesTargets:2021
DE BER,525200,134050,CDPCitiesTargets:2021
DK RKE,556419,120878,CDPCitiesTargets:2021
MX CLY,205222,-1008120,CDPCitiesTargets:2021
BR ARU,-212089,-504328,CDPCitiesTargets:2021
DK AAR,561684,101374,CDPCitiesTargets:2021
BR SOR,-234775,-474221,CDPCitiesTargets:2021
BR SSA,-129730,-385023,CDPCitiesTargets:2021
BR CWB,-254311,-492647,CDPCitiesTargets:2021
NZ WLG,-412865,1747760,CDPCitiesTargets:2021
