actor_id,lat,lng,datasource_id
AR UZU,-297833,-580500,UNLOCODE:2023-2
AR CUT,-389333,-692333,UNLOCODE:2023-2
AR DIX,-366000,-617500,UNLOCODE:2023-2
AR DGU,-339000,-588667,UNLOCODE:2023-2
AR ADV,-344500,-588000,UNLOCODE:2023-2
AR DKS,-343667,-582000,UNLOCODE:2023-2
AR DSU,-346500,-583333,UNLOCODE:2023-2
AR DCU,-345000,-586333,UNLOCODE:2023-2
AR DOR,-329000,-687500,UNLOCODE:2023-2
AR ELB,-279167,-658833,UNLOCODE:2023-2
AR EHL,-419667,-715167,UNLOCODE:2023-2
AR EBO,-247333,-651000,UNLOCODE:2023-2
AR FTE,-502667,-720500,UNLOCODE:2023-2
AR JEC,-250833,-654667,UNLOCODE:2023-2
AR EMX,-420500,-711667,UNLOCODE:2023-2
AR EPA,-345333,-586000,UNLOCODE:2023-2
AR ELP,-328333,-687833,UNLOCODE:2023-2
AR ETP,-344500,-586500,UNLOCODE:2023-2
AR ETL,-321833,-617167,UNLOCODE:2023-2
AR ZAI,-232167,-641000,UNLOCODE:2023-2
AR EEA,-348667,-578833,UNLOCODE:2023-2
AR EPL,-347667,-582500,UNLOCODE:2023-2
AR ESP,-314500,-609333,UNLOCODE:2023-2
AR ESE,-348000,-584667,UNLOCODE:2023-2
AR JTR,-329333,-632500,UNLOCODE:2023-2
AR EBA,-337667,-690667,UNLOCODE:2023-2
AR EZA,-348333,-585167,UNLOCODE:2023-2
AR FAM,-270500,-654000,UNLOCODE:2023-2
AR FEN,-310000,-579000,UNLOCODE:2023-2
AR FER,-279167,-639000,UNLOCODE:2023-2
AR FRR,-314500,-641000,UNLOCODE:2023-2
AR FLO,-348833,-588167,UNLOCODE:2023-2
AR FRK,-315833,-609333,UNLOCODE:2023-2
AR FLB,-327833,-607333,UNLOCODE:2023-2
AR FBE,-330167,-686500,UNLOCODE:2023-2
AR FRY,-311500,-620833,UNLOCODE:2023-2
AR FRT,-311333,-628000,UNLOCODE:2023-2
AR XLM,-331667,-610833,UNLOCODE:2023-2
AR FNS,-329167,-608167,UNLOCODE:2023-2
AR GVL,-320167,-612167,UNLOCODE:2023-2
AR GAR,-344167,-587500,UNLOCODE:2023-2
AR GRU,-274833,-558333,UNLOCODE:2023-2
AR GVA,-350000,-676500,UNLOCODE:2023-2
AR GBE,-357667,-585000,UNLOCODE:2023-2
AR GCA,-328000,-638667,UNLOCODE:2023-2
AR GDL,-327333,-637667,UNLOCODE:2023-2
AR XSA,-390833,-671500,UNLOCODE:2023-2
AR NES,-226000,-638167,UNLOCODE:2023-2
