target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,summary,datasource_id,initiative_id
SBTi:335800C4GAEGPH1E9B03:2033,335800C4GAEGPH1E9B03,Absolute emission reduction,2018,2033,63,percent,Mahindra Lifespaces Developers Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800C4GAEGPH1E9B03:2033,335800C4GAEGPH1E9B03,Absolute emission reduction,2018,2033,20,percent,Mahindra Lifespaces Developers Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800H6MURUA6FBOW17:2030,335800H6MURUA6FBOW17,Absolute emission reduction,2019,2030,27,percent,TATA CHEMICALS LIMITED reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800IFS1IJHESG8362:2030,335800IFS1IJHESG8362,Absolute emission reduction,2017,2030,48,percent,Wipro reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800IFS1IJHESG8362:2030,335800IFS1IJHESG8362,Absolute emission reduction,2017,2030,30,percent,Wipro reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800IFS1IJHESG8362:2040,335800IFS1IJHESG8362,Net zero,,2040,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800LB39TLJ8YTWM98:2026,335800LB39TLJ8YTWM98,Absolute emission reduction,2016,2026,14,percent,Hindustan Zinc Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800LB39TLJ8YTWM98:2026,335800LB39TLJ8YTWM98,Absolute emission reduction,2016,2026,20,percent,Hindustan Zinc Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800OVDPY3DVZR2798:2030,335800OVDPY3DVZR2798,Absolute emission reduction,2017,2030,55,percent,Dr. Reddy’s Laboratories Ltd. reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:33D7DTWH8BNIUWE0IF81:2030,33D7DTWH8BNIUWE0IF81,Absolute emission reduction,2017,2030,50,percent,Olam reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:3538000246DHJLRTUZ24:2030,3538000246DHJLRTUZ24,Absolute emission reduction,2013,2030,71,percent,Fujitsu Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:3538000246DHJLRTUZ24:2030,3538000246DHJLRTUZ24,Absolute emission reduction,2013,2030,30,percent,Fujitsu Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:3538001FWU534P8JMO05:2050,3538001FWU534P8JMO05,Net zero,,2050,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:3538002LJMRZ83SU0B85:2030,3538002LJMRZ83SU0B85,Absolute emission reduction,2015,2030,63,percent,ASICS Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:3538003H9W4KIDODQY20:2030,3538003H9W4KIDODQY20,Absolute emission reduction,2017,2030,30,percent,"TOPPAN PRINTING CO., LTD. reported progress on all SBTs.",SBTi:target_progress:2021-07-31,SBTi
SBTi:3538003H9W4KIDODQY20:2030,3538003H9W4KIDODQY20,Absolute emission reduction,2017,2030,20,percent,"TOPPAN PRINTING CO., LTD. reported progress on all SBTs.",SBTi:target_progress:2021-07-31,SBTi
SBTi:35380049VXDTHZI3DY35:2030,35380049VXDTHZI3DY35,Absolute emission reduction,2019,2030,46,percent,"Shionogi & Co.,Ltd reported progress on all SBTs.",SBTi:target_progress:2021-07-31,SBTi
SBTi:35380049VXDTHZI3DY35:2030,35380049VXDTHZI3DY35,Absolute emission reduction,2019,2030,20,percent,"Shionogi & Co.,Ltd reported progress on all SBTs.",SBTi:target_progress:2021-07-31,SBTi
SBTi:3538005NRFALKZBG1W96:2030,3538005NRFALKZBG1W96,Absolute emission reduction,2018,2030,50,percent,YKK Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:3538005NRFALKZBG1W96:2030,3538005NRFALKZBG1W96,Absolute emission reduction,2018,2030,30,percent,YKK Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:35380064HYEZXBQHDF07:2030,35380064HYEZXBQHDF07,Absolute emission reduction,2019,2030,27,percent,TIS Inc. reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800BRAE0QFP3ZLY22:2030,353800BRAE0QFP3ZLY22,Absolute emission reduction,2017,2030,33,percent,Shimizu Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800BRAE0QFP3ZLY22:2030,353800BRAE0QFP3ZLY22,Absolute emission reduction,2017,2030,20,percent,Shimizu Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800BRAE0QFP3ZLY22:2050,353800BRAE0QFP3ZLY22,Absolute emission reduction,2017,2050,63,percent,Shimizu Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800BRAE0QFP3ZLY22:2050,353800BRAE0QFP3ZLY22,Absolute emission reduction,2017,2050,43,percent,Shimizu Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
