"datasource_id","population","year","actor_id"
"CDPCitiesTargets:2021",2446144,2020,"KR TAE"
"CDPCitiesTargets:2021",300000,2021,"CR DE2"
"CDPCitiesTargets:2021",79559,2020,"NO SAS"
"CDPCitiesTargets:2021",62709,2019,"DK HLS"
"CDPCitiesTargets:2021",1653461,2020,"BR REC"
"CDPCitiesTargets:2021",981105,2020,"SE STO"
"CDPCitiesTargets:2021",1874917,2020,"TW TNN"
"CDPCitiesTargets:2021",1003530,2021,"MX CUL"
"CDPCitiesTargets:2021",277417,2018,"GB SUN"
"CDPCitiesTargets:2021",482713,2019,"TR KAD"
"CDPCitiesTargets:2021",1874917,2020,"TW TNN"
"CDPCitiesTargets:2021",1452549,2021,"JP UKY"
"CDPCitiesTargets:2021",133262,2021,"IS REY"
"CDPCitiesTargets:2021",3068043,2018,"AR BUE"
"CDPCitiesTargets:2021",1653524,2020,"ID SRG"
"CDPCitiesTargets:2021",21741090,2021,"BD DAC"
"CDPCitiesTargets:2021",56791,2020,"SE SKV"
"CDPCitiesTargets:2021",614618,2021,"LV RIX"
"CDPCitiesTargets:2021",15462452,2020,"TR IST"
"CDPCitiesTargets:2021",3068043,2018,"AR BUE"
