actor_id,identifier,datasource_id,namespace
ECCC_G10258:549300183M7GYZ90QS57,ECCC_G10258:549300183M7GYZ90QS57,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10019:54930076R7DSUQLIJE29,ECCC_G10019:54930076R7DSUQLIJE29,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10271:549300QIZNVNHW2M3G58,ECCC_G10271:549300QIZNVNHW2M3G58,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10273:5493009981WBHS86CJ89,ECCC_G10273:5493009981WBHS86CJ89,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10302:5493004Z9TCQW68YVL89,ECCC_G10302:5493004Z9TCQW68YVL89,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10330:54930030MPVYJ0MTAS08,ECCC_G10330:54930030MPVYJ0MTAS08,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10343:549300ZX1Z8QGWASPX54,ECCC_G10343:549300ZX1Z8QGWASPX54,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10864:549300ZX1Z8QGWASPX54,ECCC_G10864:549300ZX1Z8QGWASPX54,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10975:549300ZX1Z8QGWASPX54,ECCC_G10975:549300ZX1Z8QGWASPX54,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11211:549300ZX1Z8QGWASPX54,ECCC_G11211:549300ZX1Z8QGWASPX54,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10346:JSP0TNC596XKLBPR0Y26,ECCC_G10346:JSP0TNC596XKLBPR0Y26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10355:5493005QJZPINYFP3420,ECCC_G10355:5493005QJZPINYFP3420,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10358:549300G5NNL3OGZRXK45,ECCC_G10358:549300G5NNL3OGZRXK45,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10360:ZRPT83FLC26QOUQ8DT58,ECCC_G10360:ZRPT83FLC26QOUQ8DT58,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10366:254900S2XROLM5WUR914,ECCC_G10366:254900S2XROLM5WUR914,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10376:549300FCRH8BIELHLK38,ECCC_G10376:549300FCRH8BIELHLK38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11162:549300FCRH8BIELHLK38,ECCC_G11162:549300FCRH8BIELHLK38,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10527:549300JVK4B3OCNPFG14,ECCC_G10527:549300JVK4B3OCNPFG14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10545:549300PTBTWUDQPGRE86,ECCC_G10545:549300PTBTWUDQPGRE86,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11173:5493005C3MRGJI6ZZF14,ECCC_G11173:5493005C3MRGJI6ZZF14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11186:5493005C3MRGJI6ZZF14,ECCC_G11186:5493005C3MRGJI6ZZF14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11913:5493005C3MRGJI6ZZF14,ECCC_G11913:5493005C3MRGJI6ZZF14,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10427:549300LM7VO08PVE7165,ECCC_G10427:549300LM7VO08PVE7165,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10456:CZ72ZHBVKZXQRV3XFE26,ECCC_G10456:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10676:CZ72ZHBVKZXQRV3XFE26,ECCC_G10676:CZ72ZHBVKZXQRV3XFE26,ECCC_GHGRP:2022-04-14,LOCODE_LEI
