year,total_emissions,actor_id,emissions_id,datasource_id
2018,188575,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392018,ECCC_GHGRP:2022-04-14
2017,172972,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392017,ECCC_GHGRP:2022-04-14
2016,198614,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392016,ECCC_GHGRP:2022-04-14
2015,185995,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392015,ECCC_GHGRP:2022-04-14
2014,183204,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392014,ECCC_GHGRP:2022-04-14
2013,206803,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392013,ECCC_GHGRP:2022-04-14
2012,245672,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392012,ECCC_GHGRP:2022-04-14
2011,238012,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392011,ECCC_GHGRP:2022-04-14
2010,299339,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392010,ECCC_GHGRP:2022-04-14
2009,235790,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392009,ECCC_GHGRP:2022-04-14
2020,571004,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392020,ECCC_GHGRP:2022-04-14
2019,758994,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392019,ECCC_GHGRP:2022-04-14
2018,347547,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392018,ECCC_GHGRP:2022-04-14
2017,719608,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392017,ECCC_GHGRP:2022-04-14
2016,546175,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392016,ECCC_GHGRP:2022-04-14
2015,817643,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392015,ECCC_GHGRP:2022-04-14
2014,668164,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392014,ECCC_GHGRP:2022-04-14
2013,531444,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392013,ECCC_GHGRP:2022-04-14
2012,809150,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392012,ECCC_GHGRP:2022-04-14
2011,664647,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392011,ECCC_GHGRP:2022-04-14
2010,640166,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392010,ECCC_GHGRP:2022-04-14
2009,615948,ECCC_G10067:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10067:5299000S9E1C0NBZXD392009,ECCC_GHGRP:2022-04-14
2020,925204,ECCC_G10112:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10112:5299000S9E1C0NBZXD392020,ECCC_GHGRP:2022-04-14
2019,1130041,ECCC_G10112:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10112:5299000S9E1C0NBZXD392019,ECCC_GHGRP:2022-04-14
2018,1186797,ECCC_G10112:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10112:5299000S9E1C0NBZXD392018,ECCC_GHGRP:2022-04-14
2017,1052211,ECCC_G10112:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10112:5299000S9E1C0NBZXD392017,ECCC_GHGRP:2022-04-14
2016,772441,ECCC_G10112:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10112:5299000S9E1C0NBZXD392016,ECCC_GHGRP:2022-04-14
