Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Paraguay,MtCO2e,32.34,29.33,28.62,28.81,28.77,30.74,29.96,30.65,31.10,31.58,30.41,32.60,32.02,34.32,32.48,33.48,33.96,35.98,35.52,37.59,39.95,41.16,42.49,43.95,46.01,46.44,47.40,49.90,48.49,49.55
Syria,MtCO2e,65.02,73.26,76.94,79.66,82.97,86.55,89.00,89.97,93.85,93.23,93.30,92.51,93.84,94.00,89.29,99.72,102.34,105.32,105.87,102.22,103.37,97.33,77.99,54.73,49.01,46.94,47.45,51.39,48.25,48.48
Switzerland,MtCO2e,52.78,55.00,54.93,52.57,51.70,52.63,53.25,51.79,53.35,53.48,52.73,54.34,52.71,53.95,54.45,55.17,54.89,52.96,54.59,53.14,54.72,50.60,51.91,52.93,49.12,48.35,48.85,47.88,46.61,46.50
Sweden,MtCO2e,68.65,69.25,71.83,71.79,73.62,73.21,78.80,72.60,73.40,72.05,67.96,66.82,68.18,69.17,67.69,63.97,62.44,60.35,59.15,55.18,60.70,56.86,54.05,52.26,50.89,50.85,50.39,49.99,47.19,46.19
Norway,MtCO2e,46.12,43.53,43.75,46.20,48.15,48.11,48.28,50.02,51.28,53.25,47.69,47.93,47.44,49.46,49.75,48.69,48.99,49.29,47.98,47.54,51.39,49.52,48.31,49.22,48.87,49.27,48.74,47.72,47.51,45.90
Nepal,MtCO2e,21.36,21.61,21.33,22.14,22.88,23.99,24.42,24.92,25.37,26.38,26.76,27.15,26.66,27.18,27.40,28.09,27.90,28.13,29.22,30.85,31.94,33.19,34.24,34.87,36.31,36.26,39.78,42.47,45.63,44.22
Mali,MtCO2e,15.04,15.00,15.00,15.20,15.50,15.80,16.68,16.95,17.94,19.28,21.68,21.34,21.57,22.32,24.58,25.50,25.84,26.79,28.24,28.61,30.85,31.70,32.30,33.60,34.15,35.55,39.99,40.98,42.31,44.15
Uganda,MtCO2e,14.31,14.97,15.31,15.64,15.30,16.08,16.91,17.94,19.15,18.53,18.87,19.22,20.21,22.17,22.30,24.27,22.93,25.54,32.04,32.82,34.48,34.47,36.06,36.01,37.06,39.03,40.26,41.27,42.84,43.29
Denmark,MtCO2e,68.84,79.67,73.46,76.09,79.72,76.57,90.06,80.39,76.35,73.51,69.71,71.42,70.74,76.26,70.06,66.34,74.07,69.28,65.77,62.88,63.16,57.74,52.65,54.08,49.89,47.88,49.42,47.11,46.58,43.20
Niger,MtCO2e,12.87,13.33,13.82,14.48,14.97,15.56,16.30,17.02,17.82,18.53,19.01,19.86,20.65,21.55,22.42,23.32,24.24,25.44,26.66,28.00,28.11,29.13,31.17,32.94,34.64,35.85,37.54,38.97,40.82,42.72
Tunisia,MtCO2e,21.25,22.16,23.48,23.72,23.44,23.93,25.32,25.87,27.26,28.75,30.04,30.95,31.08,30.91,32.17,32.86,34.01,35.36,35.90,36.23,38.68,37.62,39.29,39.08,41.42,41.73,40.94,41.21,41.39,41.59
Dominican Republic,MtCO2e,15.76,16.88,18.35,18.84,20.82,21.33,22.23,23.89,25.84,26.44,27.15,27.95,30.39,28.05,27.34,28.59,30.59,31.78,31.94,31.42,32.77,33.17,33.97,33.74,34.09,36.49,37.77,37.02,39.20,41.32
Cuba,MtCO2e,54.79,45.60,39.44,36.00,37.44,38.59,41.27,43.50,43.02,43.54,43.93,43.06,41.90,41.07,40.41,40.44,41.49,42.57,41.94,42.67,43.73,43.77,44.83,45.18,43.21,45.17,43.14,41.79,42.28,41.24
Cambodia,MtCO2e,16.13,15.83,16.36,17.17,16.00,18.64,18.93,19.13,19.22,20.48,19.38,19.39,19.83,21.32,21.18,22.59,24.17,25.32,25.95,27.28,27.85,29.11,28.71,28.69,29.45,31.14,34.16,36.90,38.73,40.06
Slovakia,MtCO2e,66.67,58.59,56.07,53.43,50.76,51.33,51.34,51.21,50.06,48.61,45.99,46.59,46.15,46.40,45.72,46.54,46.10,45.14,45.18,41.53,43.07,41.56,39.20,39.86,37.21,37.65,38.50,40.43,39.88,38.06
Ghana,MtCO2e,11.90,11.98,12.51,12.73,13.06,13.41,14.33,15.26,17.98,17.37,17.63,16.92,18.18,18.68,17.52,19.76,20.94,21.18,20.98,22.17,23.95,25.95,28.54,30.60,30.14,31.61,32.09,34.20,35.83,37.65
Zambia,MtCO2e,27.46,27.82,27.98,27.53,26.81,26.59,24.72,25.51,27.23,25.51,24.80,25.33,27.61,29.96,30.04,31.29,28.86,29.38,29.80,28.75,31.20,30.89,34.56,35.36,35.42,36.31,36.39,36.70,37.56,37.57
Jordan,MtCO2e,18.63,19.08,21.83,22.56,23.66,23.29,22.52,22.04,21.24,20.31,20.88,20.98,21.77,22.35,23.96,25.48,26.28,27.78,27.04,27.78,27.52,28.46,32.02,32.34,34.49,34.96,35.26,37.07,36.21,36.57
Uruguay,MtCO2e,28.64,30.25,31.86,32.40,32.28,32.47,33.80,33.51,33.10,34.16,32.28,31.90,32.22,33.10,35.01,35.18,37.32,36.28,38.85,38.40,36.01,37.56,38.42,37.43,36.93,36.76,37.09,36.33,36.24,36.12
Sri Lanka,MtCO2e,23.90,23.74,25.51,25.82,26.60,26.72,26.59,24.63,22.13,21.53,20.81,20.56,21.45,22.62,22.78,24.72,23.14,24.08,24.34,23.51,24.77,27.57,29.12,26.59,29.38,33.28,33.87,34.47,33.69,35.99
Mozambique,MtCO2e,18.44,18.72,19.37,20.09,20.38,20.63,20.43,19.16,21.57,20.82,20.05,21.86,23.81,24.57,24.40,26.29,25.28,25.87,27.22,25.04,27.18,27.28,29.05,30.57,31.68,31.31,32.15,32.75,36.12,35.40
Lebanon,MtCO2e,7.27,8.78,8.84,12.25,13.19,15.49,16.53,18.75,19.10,20.08,18.92,20.24,20.22,20.91,21.47,20.89,19.95,18.89,22.68,26.15,25.25,25.93,28.57,28.55,30.74,32.88,34.05,35.93,34.68,35.21
